question,answer,Actual Answers,retrieved_docs,retrieved_titles,retrieved_terms,similarities,Manual Evaluation,Reason
What issue does consistency training face?,"a continual setup, data from different sources arrives sequentially and each batch is only available for a limited period",A: Models lose ability to exploit unlabeled data.,"['Continual learning protocols are attracting increasing attention from the\nmedical imaging community. In a continual setup, data from different sources\narrives sequentially and each batch is only available for a limited period.\nGiven the inherent privacy risks associated with medical data, this setup\nreflects the reality of deployment for deep learning diagnostic radiology\nsystems. Many techniques exist to learn continuously for classification tasks,\nand several have been adapted to semantic segmentation. Yet most have at least\none of the following flaws: a) they rely too heavily on domain identity\ninformation during inference, or b) data as seen in early training stages does\nnot profit from training with later data. In this work, we propose an\nevaluation framework that addresses both concerns, and introduce a fair\nmulti-model benchmark. We show that the benchmark outperforms two popular\ncontinual learning methods for the task of T2-weighted MR prostate\nsegmentation.', 'Modern deep neural networks struggle to transfer knowledge and generalize\nacross domains when deploying to real-world applications. Domain generalization\n(DG) aims to learn a universal representation from multiple source domains to\nimprove the network generalization ability on unseen target domains. Previous\nDG methods mostly focus on the data-level consistency scheme to advance the\ngeneralization capability of deep networks, without considering the synergistic\nregularization of different consistency schemes. In this paper, we present a\nnovel Hierarchical Consistency framework for Domain Generalization (HCDG) by\nensembling Extrinsic Consistency and Intrinsic Consistency. Particularly, for\nExtrinsic Consistency, we leverage the knowledge across multiple source domains\nto enforce data-level consistency. Also, we design a novel Amplitude\nGaussian-mixing strategy for Fourier-based data augmentation to enhance such\nconsistency. For Intrinsic Consistency, we perform task-level consistency for\nthe same instance under the dual-task form. We evaluate the proposed HCDG\nframework on two medical image segmentation tasks, i.e., optic cup/disc\nsegmentation on fundus images and prostate MRI segmentation. Extensive\nexperimental results manifest the effectiveness and versatility of our HCDG\nframework. Code will be available once accept.', ""While multiple studies have explored the relation between inter-rater\nvariability and deep learning model uncertainty in medical segmentation tasks,\nlittle is known about the impact of individual rater style. This study\nquantifies rater style in the form of bias and consistency and explores their\nimpacts when used to train deep learning models. Two multi-rater public\ndatasets were used, consisting of brain multiple sclerosis lesion and spinal\ncord grey matter segmentation. On both datasets, results show a correlation\n($R^2 = 0.60$ and $0.93$) between rater bias and deep learning uncertainty. The\nimpact of label fusion between raters' annotations on this relationship is also\nexplored, and we show that multi-center consensuses are more effective than\nsingle-center consensuses to reduce uncertainty, since rater style is mostly\ncenter-specific.""]","['What is Wrong with Continual Learning in Medical Image Segmentation?', 'HCDG: A Hierarchical Consistency Framework for Domain Generalization on Medical Image Segmentation', 'Impact of individual rater style on deep learning uncertainty in medical imaging segmentation']","[""['cs.CV', 'cs.LG']"", ""['cs.CV']"", ""['cs.CV', 'eess.IV']""]","[0.839682936668396, 0.8354004621505737, 0.8351045846939087]",Missing,Document retrieval fail
What is EHT used for?,medical image segmentation,A: Semantic segmentation of urban images.,"['The strict security requirements placed on medical records by various privacy\nregulations become major obstacles in the age of big data. To ensure efficient\nmachine learning as a service schemes while protecting data confidentiality, in\nthis work, we propose blind UNET (BUNET), a secure protocol that implements\nprivacy-preserving medical image segmentation based on the UNET architecture.\nIn BUNET, we efficiently utilize cryptographic primitives such as homomorphic\nencryption and garbled circuits (GC) to design a complete secure protocol for\nthe UNET neural architecture. In addition, we perform extensive architectural\nsearch in reducing the computational bottleneck of GC-based secure activation\nprotocols with high-dimensional input data. In the experiment, we thoroughly\nexamine the parameter space of our protocol, and show that we can achieve up to\n14x inference time reduction compared to the-state-of-the-art secure inference\ntechnique on a baseline architecture with negligible accuracy degradation.', 'Medical image segmentation plays an essential role in developing\ncomputer-assisted diagnosis and therapy systems, yet still faces many\nchallenges. In the past few years, the popular encoder-decoder architectures\nbased on CNNs (e.g., U-Net) have been successfully applied in the task of\nmedical image segmentation. However, due to the locality of convolution\noperations, they demonstrate limitations in learning global context and\nlong-range spatial relations. Recently, several researchers try to introduce\ntransformers to both the encoder and decoder components with promising results,\nbut the efficiency requires further improvement due to the high computational\ncomplexity of transformers. In this paper, we propose LeViT-UNet, which\nintegrates a LeViT Transformer module into the U-Net architecture, for fast and\naccurate medical image segmentation. Specifically, we use LeViT as the encoder\nof the LeViT-UNet, which better trades off the accuracy and efficiency of the\nTransformer block. Moreover, multi-scale feature maps from transformer blocks\nand convolutional blocks of LeViT are passed into the decoder via\nskip-connection, which can effectively reuse the spatial information of the\nfeature maps. Our experiments indicate that the proposed LeViT-UNet achieves\nbetter performance comparing to various competing methods on several\nchallenging medical image segmentation benchmarks including Synapse and ACDC.\nCode and models will be publicly available at\nhttps://github.com/apple1986/LeViT_UNet.', 'In this paper, we present UNet++, a new, more powerful architecture for\nmedical image segmentation. Our architecture is essentially a deeply-supervised\nencoder-decoder network where the encoder and decoder sub-networks are\nconnected through a series of nested, dense skip pathways. The re-designed skip\npathways aim at reducing the semantic gap between the feature maps of the\nencoder and decoder sub-networks. We argue that the optimizer would deal with\nan easier learning task when the feature maps from the decoder and encoder\nnetworks are semantically similar. We have evaluated UNet++ in comparison with\nU-Net and wide U-Net architectures across multiple medical image segmentation\ntasks: nodule segmentation in the low-dose CT scans of chest, nuclei\nsegmentation in the microscopy images, liver segmentation in abdominal CT\nscans, and polyp segmentation in colonoscopy videos. Our experiments\ndemonstrate that UNet++ with deep supervision achieves an average IoU gain of\n3.9 and 3.4 points over U-Net and wide U-Net, respectively.']","['BUNET: Blind Medical Image Segmentation Based on Secure UNET', 'LeViT-UNet: Make Faster Encoders with Transformer for Medical Image Segmentation', 'UNet++: A Nested U-Net Architecture for Medical Image Segmentation']","[""['cs.CV', 'cs.CR']"", ""['cs.CV']"", ""['cs.CV', 'cs.LG', 'eess.IV', 'stat.ML']""]","[0.8018316030502319, 0.7984381914138794, 0.7838506102561951]",Missing,Document retrieval fail
What challenge do deep models face?,Deep learning,A: Domain shifts between source and new data.,"['We present DLTK, a toolkit providing baseline implementations for efficient\nexperimentation with deep learning methods on biomedical images. It builds on\ntop of TensorFlow and its high modularity and easy-to-use examples allow for a\nlow-threshold access to state-of-the-art implementations for typical medical\nimaging problems. A comparison of DLTK\'s reference implementations of popular\nnetwork architectures for image segmentation demonstrates new top performance\non the publicly available challenge data ""Multi-Atlas Labeling Beyond the\nCranial Vault"". The average test Dice similarity coefficient of $81.5$ exceeds\nthe previously best performing CNN ($75.7$) and the accuracy of the challenge\nwinning method ($79.0$).', 'Deep Neural Networks (DNNs) are widely used for decision making in a myriad\nof critical applications, ranging from medical to societal and even judicial.\nGiven the importance of these decisions, it is crucial for us to be able to\ninterpret these models. We introduce a new method for interpreting image\nsegmentation models by learning regions of images in which noise can be applied\nwithout hindering downstream model performance. We apply this method to\nsegmentation of the pancreas in CT scans, and qualitatively compare the quality\nof the method to existing explainability techniques, such as Grad-CAM and\nocclusion sensitivity. Additionally we show that, unlike other methods, our\ninterpretability model can be quantitatively evaluated based on the downstream\nperformance over obscured images.', ""Deep Learning (DL) models are becoming larger, because the increase in model\nsize might offer significant accuracy gain. To enable the training of large\ndeep networks, data parallelism and model parallelism are two well-known\napproaches for parallel training. However, data parallelism does not help\nreduce memory footprint per device. In this work, we introduce Large deep 3D\nConvNets with Automated Model Parallelism (LAMP) and investigate the impact of\nboth input's and deep 3D ConvNets' size on segmentation accuracy. Through\nautomated model parallelism, it is feasible to train large deep 3D ConvNets\nwith a large input patch, even the whole image. Extensive experiments\ndemonstrate that, facilitated by the automated model parallelism, the\nsegmentation accuracy can be improved through increasing model size and input\ncontext size, and large input yields significant inference speedup compared\nwith sliding window of small patches in the inference. Code is\navailable\\footnote{https://monai.io/research/lamp-automated-model-parallelism}.""]","['DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images', 'U-Noise: Learnable Noise Masks for Interpretable Image Segmentation', 'LAMP: Large Deep Nets with Automated Model Parallelism for Image Segmentation']","[""['cs.CV', 'cs.LG']"", ""['cs.CV']"", ""['cs.CV', 'cs.DC', 'cs.LG', 'cs.NE', 'eess.IV']""]","[0.8471152782440186, 0.8460106253623962, 0.8458845615386963]",Missing,Document retrieval fail
How does transfer learning reduce data labeling costs?,transfer learning,It uses knowledge from a related domain.,"['Machine learning has been utilized to perform tasks in many different domains\nsuch as classification, object detection, image segmentation and natural\nlanguage analysis. Data labeling has always been one of the most important\ntasks in machine learning. However, labeling large amounts of data increases\nthe monetary cost in machine learning. As a result, researchers started to\nfocus on reducing data annotation and labeling costs. Transfer learning was\ndesigned and widely used as an efficient approach that can reasonably reduce\nthe negative impact of limited data, which in turn, reduces the data\npreparation cost. Even transferring previous knowledge from a source domain\nreduces the amount of data needed in a target domain. However, large amounts of\nannotated data are still demanded to build robust models and improve the\nprediction accuracy of the model. Therefore, researchers started to pay more\nattention on auto annotation and labeling. In this survey paper, we provide a\nreview of previous techniques that focuses on optimized data annotation and\nlabeling for video, audio, and text data.', ""In this paper, we propose to tackle the problem of reducing discrepancies\nbetween multiple domains referred to as multi-source domain adaptation and\nconsider it under the target shift assumption: in all domains we aim to solve a\nclassification problem with the same output classes, but with labels'\nproportions differing across them. This problem, generally ignored in the vast\nmajority papers on domain adaptation papers, is nevertheless critical in\nreal-world applications, and we theoretically show its impact on the adaptation\nsuccess. To address this issue, we design a method based on optimal transport,\na theory that has been successfully used to tackle adaptation problems in\nmachine learning. Our method performs multi-source adaptation and target shift\ncorrection simultaneously by learning the class probabilities of the unlabeled\ntarget sample and the coupling allowing to align two (or more) probability\ndistributions. Experiments on both synthetic and real-world data related to\nsatellite image segmentation task show the superiority of the proposed method\nover the state-of-the-art."", 'Conventional transfer learning leverages weights of pre-trained networks, but\nmandates the need for similar neural architectures. Alternatively, knowledge\ndistillation can transfer knowledge between heterogeneous networks but often\nrequires access to the original training data or additional generative\nnetworks. Knowledge transfer between networks can be improved by being agnostic\nto the choice of network architecture and reducing the dependence on original\ntraining data. We propose a knowledge transfer approach from a teacher to a\nstudent network wherein we train the student on an independent transferal\ndataset, whose annotations are generated by the teacher. Experiments were\nconducted on five state-of-the-art networks for semantic segmentation and seven\ndatasets across three imaging modalities. We studied knowledge transfer from a\nsingle teacher, combination of knowledge transfer and fine-tuning, and\nknowledge transfer from multiple teachers. The student model with a single\nteacher achieved similar performance as the teacher; and the student model with\nmultiple teachers achieved better performance than the teachers. The salient\nfeatures of our algorithm include: 1)no need for original training data or\ngenerative networks, 2) knowledge transfer between different architectures, 3)\nease of implementation for downstream tasks by using the downstream task\ndataset as the transferal dataset, 4) knowledge transfer of an ensemble of\nmodels, trained independently, into one student model. Extensive experiments\ndemonstrate that the proposed algorithm is effective for knowledge transfer and\neasily tunable.']","['A Survey on Machine Learning Techniques for Auto Labeling of Video, Audio, and Text Data', 'Optimal Transport for Multi-source Domain Adaptation under Target Shift', 'Network-Agnostic Knowledge Transfer for Medical Image Segmentation']","[""['cs.LG']"", ""['stat.ML']"", ""['cs.CV']""]","[0.9167786240577698, 0.8745719194412231, 0.8726475238800049]",Correct, Document retrieval succes. Failed to answer
What is StructBoost in boosting algorithms?,a method for learning a single accurate predictor by linearly combining a set of weak structured learners,It combines weak structured learners for prediction.,"['Boosting is a method for learning a single accurate predictor by linearly\ncombining a set of less accurate weak learners. Recently, structured learning\nhas found many applications in computer vision. Inspired by structured support\nvector machines (SSVM), here we propose a new boosting algorithm for structured\noutput prediction, which we refer to as StructBoost. StructBoost supports\nnonlinear structured learning by combining a set of weak structured learners.\nAs SSVM generalizes SVM, our StructBoost generalizes standard boosting\napproaches such as AdaBoost, or LPBoost to structured learning. The resulting\noptimization problem of StructBoost is more challenging than SSVM in the sense\nthat it may involve exponentially many variables and constraints. In contrast,\nfor SSVM one usually has an exponential number of constraints and a\ncutting-plane method is used. In order to efficiently solve StructBoost, we\nformulate an equivalent $ 1 $-slack formulation and solve it using a\ncombination of cutting planes and column generation. We show the versatility\nand usefulness of StructBoost on a range of problems such as optimizing the\ntree loss for hierarchical multi-class classification, optimizing the Pascal\noverlap criterion for robust visual tracking and learning conditional random\nfield parameters for image segmentation.', 'Complex classification performance metrics such as the F${}_\\beta$-measure\nand Jaccard index are often used, in order to handle class-imbalanced cases\nsuch as information retrieval and image segmentation. These performance metrics\nare not decomposable, that is, they cannot be expressed in a per-example\nmanner, which hinders a straightforward application of M-estimation widely used\nin supervised learning. In this paper, we consider linear-fractional metrics,\nwhich are a family of classification performance metrics that encompasses many\nstandard ones such as the F${}_\\beta$-measure and Jaccard index, and propose\nmethods to directly maximize performances under those metrics. A clue to tackle\ntheir direct optimization is a calibrated surrogate utility, which is a\ntractable lower bound of the true utility function representing a given metric.\nWe characterize sufficient conditions which make the surrogate maximization\ncoincide with the maximization of the true utility. Simulation results on\nbenchmark datasets validate the effectiveness of our calibrated surrogate\nmaximization especially if the sample sizes are extremely small.', 'We consider the structured-output prediction problem through probabilistic\napproaches and generalize the ""perturb-and-MAP"" framework to more challenging\nweighted Hamming losses, which are crucial in applications. While in principle\nour approach is a straightforward marginalization, it requires solving many\nrelated MAP inference problems. We show that for log-supermodular pairwise\nmodels these operations can be performed efficiently using the machinery of\ndynamic graph cuts. We also propose to use double stochastic gradient descent,\nboth on the data and on the perturbations, for efficient learning. Our\nframework can naturally take weak supervision (e.g., partial labels) into\naccount. We conduct a set of experiments on medium-scale character recognition\nand image segmentation, showing the benefits of our algorithms.']","['StructBoost: Boosting Methods for Predicting Structured Output Variables', 'Calibrated Surrogate Maximization of Linear-fractional Utility in Binary Classification', 'Marginal Weighted Maximum Log-likelihood for Efficient Learning of Perturb-and-Map models']","[""['cs.LG']"", ""['cs.LG', 'stat.ML']"", ""['stat.ML', 'cs.LG']""]","[0.9142849445343018, 0.8487935066223145, 0.8477636575698853]",Correct,Document retrieval success. Right answer
What problem does Augmented CycleGAN address?,Learning inter-domain mappings from unpaired data,It learns many-to-many domain mappings.,"['Learning inter-domain mappings from unpaired data can improve performance in\nstructured prediction tasks, such as image segmentation, by reducing the need\nfor paired data. CycleGAN was recently proposed for this problem, but\ncritically assumes the underlying inter-domain mapping is approximately\ndeterministic and one-to-one. This assumption renders the model ineffective for\ntasks requiring flexible, many-to-many mappings. We propose a new model, called\nAugmented CycleGAN, which learns many-to-many mappings between domains. We\nexamine Augmented CycleGAN qualitatively and quantitatively on several image\ndatasets.', 'Generative adversarial networks (GANs) have shown great success in\napplications such as image generation and inpainting. However, they typically\nrequire large datasets, which are often not available, especially in the\ncontext of prediction tasks such as image segmentation that require labels.\nTherefore, methods such as the CycleGAN use more easily available unlabelled\ndata, but do not offer a way to leverage additional labelled data for improved\nperformance. To address this shortcoming, we show how to factorise the joint\ndata distribution into a set of lower-dimensional distributions along with\ntheir dependencies. This allows splitting the discriminator in a GAN into\nmultiple ""sub-discriminators"" that can be independently trained from incomplete\nobservations. Their outputs can be combined to estimate the density ratio\nbetween the joint real and the generator distribution, which enables training\ngenerators as in the original GAN framework. We apply our method to image\ngeneration, image segmentation and audio source separation, and obtain improved\nperformance over a standard GAN when additional incomplete training examples\nare available. For the Cityscapes segmentation task in particular, our method\nalso improves accuracy by an absolute 14.9% over CycleGAN while using only 25\nadditional paired examples.', ""We tackle the problem of graph partitioning for image segmentation using\ncorrelation clustering (CC), which we treat as an integer linear program (ILP).\nWe reformulate optimization in the ILP so as to admit efficient optimization\nvia Benders decomposition, a classic technique from operations research. Our\nBenders decomposition formulation has many subproblems, each associated with a\nnode in the CC instance's graph, which are solved in parallel. Each Benders\nsubproblem enforces the cycle inequalities corresponding to the negative weight\nedges attached to its corresponding node in the CC instance. We generate\nMagnanti-Wong Benders rows in addition to standard Benders rows, to accelerate\noptimization. Our Benders decomposition approach provides a promising new\navenue to accelerate optimization for CC, and allows for massive\nparallelization.""]","['Augmented CycleGAN: Learning Many-to-Many Mappings from Unpaired Data', 'Training Generative Adversarial Networks from Incomplete Observations using Factorised Discriminators', 'Massively Parallel Benders Decomposition for Correlation Clustering']","[""['cs.LG']"", ""['cs.LG', 'stat.ML']"", ""['cs.CV', 'cs.DS']""]","[0.8618714809417725, 0.8375003337860107, 0.8293293118476868]",Correct,Document retrieval success. Right answer
What does the new algorithm for transductive inference optimize?,Lazy Modular Bayesian Optimization,It optimizes classifier parameters and label variables.,"['This paper introduces a novel algorithm for transductive inference in\nhigher-order MRFs, where the unary energies are parameterized by a variable\nclassifier. The considered task is posed as a joint optimization problem in the\ncontinuous classifier parameters and the discrete label variables. In contrast\nto prior approaches such as convex relaxations, we propose an advantageous\ndecoupling of the objective function into discrete and continuous subproblems\nand a novel, efficient optimization method related to ADMM. This approach\npreserves integrality of the discrete label variables and guarantees global\nconvergence to a critical point. We demonstrate the advantages of our approach\nin several experiments including video object segmentation on the DAVIS data\nset and interactive image segmentation.', 'Most existing black-box optimization methods assume that all variables in the\nsystem being optimized have equal cost and can change freely at each iteration.\nHowever, in many real world systems, inputs are passed through a sequence of\ndifferent operations or modules, making variables in earlier stages of\nprocessing more costly to update. Such structure imposes a cost on switching\nvariables in early parts of a data processing pipeline. In this work, we\npropose a new algorithm for switch cost-aware optimization called Lazy Modular\nBayesian Optimization (LaMBO). This method efficiently identifies the global\noptimum while minimizing cost through a passive change of variables in early\nmodules. The method is theoretical grounded and achieves vanishing regret when\naugmented with switching cost. We apply LaMBO to multiple synthetic functions\nand a three-stage image segmentation pipeline used in a neuroscience\napplication, where we obtain promising improvements over prevailing cost-aware\nBayesian optimization algorithms. Our results demonstrate that LaMBO is an\neffective strategy for black-box optimization that is capable of minimizing\nswitching costs in modular systems.', 'Performing inference in graphs is a common task within several machine\nlearning problems, e.g., image segmentation, community detection, among others.\nFor a given undirected connected graph, we tackle the statistical problem of\nexactly recovering an unknown ground-truth binary labeling of the nodes from a\nsingle corrupted observation of each edge. Such problem can be formulated as a\nquadratic combinatorial optimization problem over the boolean hypercube, where\nit has been shown before that one can (with high probability and in polynomial\ntime) exactly recover the ground-truth labeling of graphs that have an\nisoperimetric number that grows with respect to the number of nodes (e.g.,\ncomplete graphs, regular expanders). In this work, we apply a powerful\nhierarchy of relaxations, known as the sum-of-squares (SoS) hierarchy, to the\ncombinatorial problem. Motivated by empirical evidence on the improvement in\nexact recoverability, we center our attention on the degree-4 SoS relaxation\nand set out to understand the origin of such improvement from a graph\ntheoretical perspective. We show that the solution of the dual of the relaxed\nproblem is related to finding edge weights of the Johnson and Kneser graphs,\nwhere the weights fulfill the SoS constraints and intuitively allow the input\ngraph to increase its algebraic connectivity. Finally, as byproduct of our\nanalysis, we derive a novel Cheeger-type lower bound for the algebraic\nconnectivity of graphs with signed edge weights.']","['Discrete-Continuous ADMM for Transductive Inference in Higher-Order MRFs', 'Bayesian optimization for modular black-box systems with switching costs', 'A Thorough View of Exact Inference in Graphs from the Degree-4 Sum-of-Squares Hierarchy']","[""['cs.LG']"", ""['cs.LG', 'stat.ML']"", ""['cs.LG', 'cs.AI', 'stat.ML']""]","[0.9107867479324341, 0.8744175434112549, 0.8731463551521301]",Correct,Document retrieval success. But the answer was generated from the 2nd document as we collected total 3 documents
What does DSAL combine for image segmentation?,Chan-Vese model,Active learning and semi-supervised learning.,"['In order to completely separate objects with large sections of occluded\nboundaries in an image, we devise a new variational level set model for image\nsegmentation combining the Chan-Vese model with elastica and landmark\nconstraints. For computational efficiency, we design its Augmented Lagrangian\nMethod (ALM) or Alternating Direction Method of Multiplier (ADMM) method by\nintroducing some auxiliary variables, Lagrange multipliers, and penalty\nparameters. In each loop of alternating iterative optimization, the\nsub-problems of minimization can be easily solved via the Gauss-Seidel\niterative method and generalized soft thresholding formulas with projection,\nrespectively. Numerical experiments show that the proposed model can not only\nrecover larger broken boundaries but can also improve segmentation efficiency,\nas well as decrease the dependence of segmentation on parameter tuning and\ninitialization.', 'In a class of piecewise-constant image segmentation models, we propose to\nincorporate a weighted difference of anisotropic and isotropic total variation\n(AITV) to regularize the partition boundaries in an image. In particular, we\nreplace the total variation regularization in the Chan-Vese segmentation model\nand a fuzzy region competition model by the proposed AITV. To deal with the\nnonconvex nature of AITV, we apply the difference-of-convex algorithm (DCA), in\nwhich the subproblems can be minimized by the primal-dual hybrid gradient\nmethod with linesearch. The convergence of the DCA scheme is analyzed. In\naddition, a generalization to color image segmentation is discussed. In the\nnumerical experiments, we compare the proposed models with the classic convex\napproaches and the two-stage segmentation methods (smoothing and then\nthresholding) on various images, showing that our models are effective in image\nsegmentation and robust with respect to impulsive noises.', 'Superpixel algorithms, which group pixels similar in color and other\nlow-level properties, are increasingly used for pre-processing in image\nsegmentation. Commonly important criteria for the computation of superpixels\nare boundary adherence, speed, and regularity.\n  Boundary adherence and regularity are typically contradictory goals. Most\nrecent algorithms have focused on improving boundary adherence. Motivated by\nimproving superpixel regularity, we propose a diagram-based superpixel\ngeneration method called Power-SLIC.\n  On the BSDS500 data set, Power-SLIC outperforms other state-of-the-art\nalgorithms in terms of compactness and boundary precision, and its boundary\nadherence is the most robust against varying levels of Gaussian noise. In terms\nof speed, Power-SLIC is competitive with SLIC.']","['The Chan-Vese Model with Elastica and Landmark Constraints for Image Segmentation', 'A Weighted Difference of Anisotropic and Isotropic Total Variation for Relaxed Mumford-Shah Color and Multiphase Image Segmentation', 'Power-SLIC: Diagram-based superpixel generation']","[""['cs.CV']"", ""['cs.CV']"", ""['cs.CV', 'cs.CG', 'cs.LG']""]","[0.8865311145782471, 0.8848080039024353, 0.8827061653137207]",Missing,Document retrieval fail
What problem does StructBoost address in multi-source domain adaptation?,reducing discrepancies between multiple domains referred to as multi-source domain adaptation,"""It addresses discrepancies due to target shift across multiple domains.""","[""In this paper, we propose to tackle the problem of reducing discrepancies\nbetween multiple domains referred to as multi-source domain adaptation and\nconsider it under the target shift assumption: in all domains we aim to solve a\nclassification problem with the same output classes, but with labels'\nproportions differing across them. This problem, generally ignored in the vast\nmajority papers on domain adaptation papers, is nevertheless critical in\nreal-world applications, and we theoretically show its impact on the adaptation\nsuccess. To address this issue, we design a method based on optimal transport,\na theory that has been successfully used to tackle adaptation problems in\nmachine learning. Our method performs multi-source adaptation and target shift\ncorrection simultaneously by learning the class probabilities of the unlabeled\ntarget sample and the coupling allowing to align two (or more) probability\ndistributions. Experiments on both synthetic and real-world data related to\nsatellite image segmentation task show the superiority of the proposed method\nover the state-of-the-art."", 'Boosting is a method for learning a single accurate predictor by linearly\ncombining a set of less accurate weak learners. Recently, structured learning\nhas found many applications in computer vision. Inspired by structured support\nvector machines (SSVM), here we propose a new boosting algorithm for structured\noutput prediction, which we refer to as StructBoost. StructBoost supports\nnonlinear structured learning by combining a set of weak structured learners.\nAs SSVM generalizes SVM, our StructBoost generalizes standard boosting\napproaches such as AdaBoost, or LPBoost to structured learning. The resulting\noptimization problem of StructBoost is more challenging than SSVM in the sense\nthat it may involve exponentially many variables and constraints. In contrast,\nfor SSVM one usually has an exponential number of constraints and a\ncutting-plane method is used. In order to efficiently solve StructBoost, we\nformulate an equivalent $ 1 $-slack formulation and solve it using a\ncombination of cutting planes and column generation. We show the versatility\nand usefulness of StructBoost on a range of problems such as optimizing the\ntree loss for hierarchical multi-class classification, optimizing the Pascal\noverlap criterion for robust visual tracking and learning conditional random\nfield parameters for image segmentation.', 'We present the 2017 Visual Domain Adaptation (VisDA) dataset and challenge, a\nlarge-scale testbed for unsupervised domain adaptation across visual domains.\nUnsupervised domain adaptation aims to solve the real-world problem of domain\nshift, where machine learning models trained on one domain must be transferred\nand adapted to a novel visual domain without additional supervision. The\nVisDA2017 challenge is focused on the simulation-to-reality shift and has two\nassociated tasks: image classification and image segmentation. The goal in both\ntracks is to first train a model on simulated, synthetic data in the source\ndomain and then adapt it to perform well on real image data in the unlabeled\ntest domain. Our dataset is the largest one to date for cross-domain object\nclassification, with over 280K images across 12 categories in the combined\ntraining, validation and testing domains. The image segmentation dataset is\nalso large-scale with over 30K images across 18 categories in the three\ndomains. We compare VisDA to existing cross-domain adaptation datasets and\nprovide a baseline performance analysis using various domain adaptation models\nthat are currently popular in the field.']","['Optimal Transport for Multi-source Domain Adaptation under Target Shift', 'StructBoost: Boosting Methods for Predicting Structured Output Variables', 'VisDA: The Visual Domain Adaptation Challenge']","[""['stat.ML']"", ""['cs.LG']"", ""['cs.CV']""]","[0.8869342803955078, 0.8852487206459045, 0.8783530592918396]",Correct,Document retrieval success. Right answer
What is the benefit of using surrogate maximization for performance metrics?,We characterize sufficient conditions which make the surrogate maximization coincide with the maximization of the true utility,"""It allows direct maximization of complex classification metrics.""","['Complex classification performance metrics such as the F${}_\\beta$-measure\nand Jaccard index are often used, in order to handle class-imbalanced cases\nsuch as information retrieval and image segmentation. These performance metrics\nare not decomposable, that is, they cannot be expressed in a per-example\nmanner, which hinders a straightforward application of M-estimation widely used\nin supervised learning. In this paper, we consider linear-fractional metrics,\nwhich are a family of classification performance metrics that encompasses many\nstandard ones such as the F${}_\\beta$-measure and Jaccard index, and propose\nmethods to directly maximize performances under those metrics. A clue to tackle\ntheir direct optimization is a calibrated surrogate utility, which is a\ntractable lower bound of the true utility function representing a given metric.\nWe characterize sufficient conditions which make the surrogate maximization\ncoincide with the maximization of the true utility. Simulation results on\nbenchmark datasets validate the effectiveness of our calibrated surrogate\nmaximization especially if the sample sizes are extremely small.', ""The Dice score and Jaccard index are commonly used metrics for the evaluation\nof segmentation tasks in medical imaging. Convolutional neural networks trained\nfor image segmentation tasks are usually optimized for (weighted)\ncross-entropy. This introduces an adverse discrepancy between the learning\noptimization objective (the loss) and the end target metric. Recent works in\ncomputer vision have proposed soft surrogates to alleviate this discrepancy and\ndirectly optimize the desired metric, either through relaxations (soft-Dice,\nsoft-Jaccard) or submodular optimization (Lov\\'asz-softmax). The aim of this\nstudy is two-fold. First, we investigate the theoretical differences in a risk\nminimization framework and question the existence of a weighted cross-entropy\nloss with weights theoretically optimized to surrogate Dice or Jaccard. Second,\nwe empirically investigate the behavior of the aforementioned loss functions\nw.r.t. evaluation with Dice score and Jaccard index on five medical\nsegmentation tasks. Through the application of relative approximation bounds,\nwe show that all surrogates are equivalent up to a multiplicative factor, and\nthat no optimal weighting of cross-entropy exists to approximate Dice or\nJaccard measures. We validate these findings empirically and show that, while\nit is important to opt for one of the target metric surrogates rather than a\ncross-entropy-based loss, the choice of the surrogate does not make a\nstatistical difference on a wide range of medical segmentation tasks."", 'Most existing black-box optimization methods assume that all variables in the\nsystem being optimized have equal cost and can change freely at each iteration.\nHowever, in many real world systems, inputs are passed through a sequence of\ndifferent operations or modules, making variables in earlier stages of\nprocessing more costly to update. Such structure imposes a cost on switching\nvariables in early parts of a data processing pipeline. In this work, we\npropose a new algorithm for switch cost-aware optimization called Lazy Modular\nBayesian Optimization (LaMBO). This method efficiently identifies the global\noptimum while minimizing cost through a passive change of variables in early\nmodules. The method is theoretical grounded and achieves vanishing regret when\naugmented with switching cost. We apply LaMBO to multiple synthetic functions\nand a three-stage image segmentation pipeline used in a neuroscience\napplication, where we obtain promising improvements over prevailing cost-aware\nBayesian optimization algorithms. Our results demonstrate that LaMBO is an\neffective strategy for black-box optimization that is capable of minimizing\nswitching costs in modular systems.']","['Calibrated Surrogate Maximization of Linear-fractional Utility in Binary Classification', 'Optimizing the Dice Score and Jaccard Index for Medical Image Segmentation: Theory & Practice', 'Bayesian optimization for modular black-box systems with switching costs']","[""['cs.LG', 'stat.ML']"", ""['cs.CV', 'cs.LG', 'eess.IV']"", ""['cs.LG', 'stat.ML']""]","[0.8967105746269226, 0.8617841005325317, 0.8603100180625916]",Correct,Document retrieval success. Right answer
